alpha,seed,method,value,ratio,oracle_value,where_recall,where_jaccard,when_mae,when_hit1,n_init,n_overlap,actual_reward,q_vs_value_rho,n_samples,q_gap
0.25,4,随机,850.7972042269694,0.7959947196481009,1068.8477991450698,0.7222222222222222,0.5652173913043478,3.0,0.3076923076923077,18,13,,,,
0.25,-1,纯空间排序,967.1411682493515,0.9048446083931974,1068.8477991450698,1.0,1.0,2.6666666666666665,0.2222222222222222,18,18,,,,
0.25,-1,时间感知贪心,1003.6460101347159,0.9389980602827585,1068.8477991450698,1.0,1.0,2.2222222222222223,0.4444444444444444,18,18,,,,
0.25,-1,oracle,1068.8477991450698,1.0,1068.8477991450698,1.0,1.0,0.0,1.0,18,18,,,,
0.25,0,Double-FQI,1003.6460101347159,0.9389980602827585,1068.8477991450698,1.0,1.0,2.2222222222222223,0.4444444444444444,18,18,1003.6460101347159,0.6479686505510663,8640.0,19.274070249668462
0.25,1,Double-FQI,1003.6460101347159,0.9389980602827585,1068.8477991450698,1.0,1.0,2.2222222222222223,0.4444444444444444,18,18,1003.6460101347159,0.6430121446320963,8640.0,18.870038238394972
0.25,2,Double-FQI,987.44816654565,0.9238435699970302,1068.8477991450698,1.0,1.0,2.2222222222222223,0.4444444444444444,18,18,987.4481665456498,0.6426063175365464,8640.0,19.02337986097147
0.25,3,Double-FQI,1003.6460101347159,0.9389980602827585,1068.8477991450698,1.0,1.0,2.2222222222222223,0.4444444444444444,18,18,1003.6460101347159,0.6375721316558128,8640.0,19.352928540935117
0.25,4,Double-FQI,987.44816654565,0.9238435699970302,1068.8477991450698,1.0,1.0,2.2222222222222223,0.4444444444444444,18,18,987.4481665456498,0.646633349573264,8640.0,18.974862893826998
0.5,0,随机,661.9336316269315,0.652877381407596,1013.8712880507674,0.7777777777777778,0.6363636363636364,2.642857142857143,0.35714285714285715,18,14,,,,
0.5,1,随机,676.7322248184804,0.6674735075292857,1013.8712880507674,0.7222222222222222,0.5652173913043478,3.1538461538461537,0.23076923076923078,18,13,,,,
0.5,2,随机,695.1708524734374,0.6856598669540668,1013.8712880507674,0.8333333333333334,0.7142857142857143,3.2666666666666666,0.3333333333333333,18,15,,,,
0.5,3,随机,621.1198657701807,0.6126220094113953,1013.8712880507674,0.7777777777777778,0.6363636363636364,2.5,0.21428571428571427,18,14,,,,
0.5,4,随机,685.4025752725033,0.6760252345149588,1013.8712880507674,0.7222222222222222,0.5652173913043478,3.0,0.23076923076923078,18,13,,,,
