lead,seed,gamma,ent_c,lr,epochs,reward_at,iters,ramp_years,foresight,lo,hi,A_init,B_init,C_init,ret,opt,ratio,opt_A,opt_B,opt_C,pass_wait,pass_opt,pass_now,pass_ret,curve_last,label,shaping
1,1,0.95,0.2,0.003,4.0,done,200.0,,,,,,,,0.0,281.97995,0.0,4,0,1,False,,False,False,255.0,ent20,False
1,2,0.95,0.2,0.003,4.0,done,200.0,,,,,2.0,0.0,1.0,209.6175,281.97995,0.7433773216854603,4,0,1,False,,True,False,230.0,ent20,False
1,0,0.99,0.01,0.003,4.0,done,200.0,,,,,2.0,0.0,1.0,225.82494,319.765407984,0.7062206679069537,4,0,1,False,,True,False,230.0,gamma099,False
1,1,0.99,0.01,0.003,4.0,done,200.0,,,,,2.0,0.0,1.0,225.82494,319.765407984,0.7062206679069537,4,0,1,False,,True,False,230.0,gamma099,False
1,2,0.99,0.01,0.003,4.0,done,200.0,,,,,2.0,0.0,1.0,225.82494,319.765407984,0.7062206679069537,4,0,1,False,,True,False,230.0,gamma099,False
1,0,0.95,0.01,0.003,4.0,done,1000.0,,,,,2.0,0.0,1.0,209.6175,281.97995,0.7433773216854603,4,0,1,False,,True,False,230.0,iters1000,False
1,1,0.95,0.01,0.003,4.0,done,1000.0,,,,,2.0,0.0,1.0,209.6175,281.97995,0.7433773216854603,4,0,1,False,,True,False,230.0,iters1000,False
1,2,0.95,0.01,0.003,4.0,done,1000.0,,,,,2.0,0.0,1.0,209.6175,281.97995,0.7433773216854603,4,0,1,False,,True,False,230.0,iters1000,False
1,0,0.95,0.01,0.003,4.0,init,200.0,,,,,2.0,0.0,1.0,220.65,296.82099999999997,0.7433773216854603,4,0,1,False,,True,False,230.0,rewardinit,False
1,1,0.95,0.01,0.003,4.0,init,200.0,,,,,2.0,0.0,1.0,220.65,296.82099999999997,0.7433773216854603,4,0,1,False,,True,False,230.0,rewardinit,False
1,2,0.95,0.01,0.003,4.0,init,200.0,,,,,2.0,0.0,1.0,220.65,296.82099999999997,0.7433773216854603,4,0,1,False,,True,False,230.0,rewardinit,False
1,0,0.95,0.01,0.003,4.0,done,500.0,3.0,3.0,0.6,1.6,2.0,1.0,0.0,237.27840083294075,246.4801456305724,0.962667399542098,7,0,1,False,False,False,True,263.7046687175927,eps32,False
1,1,0.95,0.01,0.003,4.0,done,500.0,3.0,3.0,0.6,1.6,2.0,0.0,1.0,238.70340083294076,246.4801456305724,0.9684487982683704,7,0,1,False,False,True,True,260.7535634837875,eps32,False
1,2,0.95,0.01,0.003,4.0,done,500.0,3.0,3.0,0.6,1.6,7.0,5.0,6.0,210.6979454196349,246.4801456305724,0.8548272514226427,7,0,1,True,True,False,False,296.0756368765817,eps32,False
1,0,0.95,0.01,0.003,4.0,done,300.0,3.0,1.0,,,1.0,0.0,2.0,233.43821327864205,246.4801456305724,0.9470872904648564,7,0,1,False,False,True,False,258.9009302791102,ramp30_fs1,False
1,1,0.95,0.01,0.003,4.0,done,300.0,3.0,1.0,,,1.0,0.0,2.0,233.43821327864205,246.4801456305724,0.9470872904648564,7,0,1,False,False,True,False,257.14337503250545,ramp30_fs1,False
1,2,0.95,0.01,0.003,4.0,done,300.0,3.0,1.0,,,1.0,0.0,2.0,233.43821327864205,246.4801456305724,0.9470872904648564,7,0,1,False,False,True,False,255.3858197859007,ramp30_fs1,False
