tag,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire
rl2O_a0.3_s3,-169.31024139199738,2159.7518611294267,0.0,-292.7156571302809,2173.6015701835736,292.7156571302809,-2729.9839214630692,6335562.216352634,-2379.1823916147646,-570.4038894686647,-2.0674496124617674
rl2O_a0.3_s1,-139.73658720215695,1861.671412115916,0.0,-252.31525781434976,1873.5827134937783,252.31525781434976,-2349.5372289150773,5177214.827394286,-2023.655483347593,-1784.7809311206984,-1.971736133350771
rl2O_a0.3_s4,-101.5206260343401,1968.142629654304,-49.46528090896485,-240.6875060828276,2266.6541749373705,210.55691323600723,-1833.7066527395184,5898162.504116787,-2246.8358362477848,-2232.048270544061,-4.9769454332065415
rl2O_a0.5_s0,-169.4663551925131,2163.216189565547,0.0,-292.7156571302809,2177.0626009234875,292.7156571302809,-2708.6385826971746,6319275.091548311,-2379.439062656404,-1357.634598195471,-2.16515767798077
rl2O_a0.3_s2,-161.69289109123264,2027.0381403527165,0.0,-275.1579203406128,2040.0391149764575,275.1579203406128,-2370.6418842153353,5705003.7966484185,-2201.2633627249024,0.0,-2.4120886765568827
rl2O_a0.5_s3,2665.642382184751,0.0,-2464.402840977548,1352.3132520271522,4861.662621112361,938.2671511815026,-353.9849358018969,6198849.927008002,-2248.236686558746,-20605.699544100866,-3.5442497389850076
rl2O_a0.5_s2,2003.269006277077,0.0,-1265.523262717415,1020.96270686698,3531.4714065056405,202.5381534674609,-282.0479762435149,4306961.179435456,-1762.9406894899255,-14963.978544338966,-2.430393919305639
rl2O_a0.5_s4,2560.326027035807,0.0,-2261.1631076371,1301.989425552575,4989.470893702261,932.2724940178234,-382.2947200578049,5767187.631871821,-2140.319038128795,-22846.579621787336,-3.019363573961784
rl2O_a0.7_s0,2654.9840484280444,0.0,-1669.4449819359718,1345.9859626840346,3689.524498252128,581.8039300425152,-390.1103900284595,6094234.210756083,-2323.998697533138,-23377.10972777636,-1.8370624417534431
rl2O_a0.7_s2,958.5991617385732,1078.237147157258,-903.7047358903292,383.43891758732167,4600.782856657765,-208.8956694938035,-1447.589757489132,5471564.334105858,-2054.740737539784,-7421.492179359244,-5.509721369963396
rl2O_a0.7_s1,2872.829238600898,0.0,-1869.6387397818332,1454.3633734766322,3021.5904519313144,1304.3991547171663,-453.9516512940756,6742762.110941278,-2500.162732091183,-25745.356268495332,-2.2212200843424497
rl2O_a0.7_s4,729.7956156428625,578.8852986773796,0.0,150.91553850685602,1004.511632702629,-105.15004757737704,-564.01237589074,2915557.3324575247,-1226.560349999335,-9470.08197506538,-1.746890746178515
rl2O_a0.85_s0,2703.8610644977734,0.0,-2236.827399557151,1361.482785316945,654.4646085834609,953.864533654028,-359.8016794650592,6287259.645099947,-2282.4775818393036,-36682.48511644779,-3.7558016670809145
rl2O_a0.85_s1,1746.8964006498031,0.0,-1193.4587667691874,884.2023761917301,3609.149865538309,-354.6206571279168,-409.5204610326171,3897965.363476603,-1510.5481328424803,-18405.945679665725,-5.620513167179243
rl2O_a0.7_s3,2847.5615697833896,0.0,-2453.00433183881,1442.3120470803883,4867.938644616212,817.7822466798165,-320.3438284840603,7203111.5447323425,-2521.976703474236,-21971.23253337744,-3.1569085336856295
rl2O_a0.85_s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10195899.25743707,-2467.139429191925,-20340.79895020808,-2.6262052540980685
rl2O_a0.85_s3,2039.6439496519752,0.0,-916.3938799158324,1029.5238153970006,1818.902221076072,-197.90656556531565,-403.090482473386,5307652.289075909,-2058.3661580500884,-16453.27994777821,-2.250315595790875
rl2O_a0.85_s4,2050.2544147717067,0.0,-1078.1993045655322,1034.6572362297954,1886.729160008724,-201.97634160155087,-371.747703967181,4517283.134259053,-1830.39093886566,-10920.118086040611,-2.3961758358439313
rl2O_a1_s0,2940.561768357032,0.0,-2270.52432251309,1480.1323321702414,517.7297836562176,875.8006563043764,-450.9445201144448,7004860.580614978,-2483.1684551102853,-36327.74440975826,-3.2112250926549537
rl2O_a1_s1,2687.329769717533,0.0,-2216.3492241464432,1359.304639723401,3667.313887486884,857.1110902610251,-337.7207696403373,6054347.502002733,-2285.629657159606,-29393.59276249457,-2.830160126722247
rl2O_a1_s3,2283.015802703138,0.0,-1334.542849331336,1153.4705157747426,956.7165156459172,614.1727013673786,-511.4691024078569,5034646.626785632,-2007.6191889426132,-26341.69940525023,-2.3507348722277284
rl2O_a1_s2,2120.368717280013,0.0,-1051.7108530683097,1070.8478531010007,1960.8162846829405,26.573820716145654,-391.64993546857426,4762587.859745203,-1904.7742067328604,-17988.133031680532,-2.4562070091926462
rl2O_a1_s4,2359.4844587237167,0.0,-1635.8893513435662,1188.3303538702685,556.5354070611047,938.9188161065372,-445.7515284021968,5222130.254341754,-2024.790458925258,-26822.93959298503,-1.62942506186899
