,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire
rl1_a0.3_s1,2032.1928369906104,750.261177097704,-1716.8009425252062,958.0461059546378,5682.441346754085,400.7656830954578,-1125.1397474457656,2287158.4225726607,-2574.280944730451,-11667.95554988904,-2.9316108158912355
rl1_a0.3_s2,-232.92837971576128,1888.8023953902805,0.0,-256.1723948373232,1690.5342529676498,208.56398481711932,-1153.2749934065018,1830188.0564339785,-2077.6373737787617,-2867.244882532517,-2.8405312423374256
rl1_a0.5_s0,2193.351481256913,0.0,-1941.031219986565,1115.2521222317869,4250.318493836925,464.151796323007,-302.5239598900108,2740275.782854992,-2476.9440733239744,-16178.938997874944,-4.7982090448916415
rl1_a0.3_s3,795.0828370357165,1212.3371572167575,0.0,90.54601769059587,1954.8145677731784,-157.87622346875168,-1604.1295241178934,1737388.1433927014,-2194.45714085509,-10350.951245025222,-1.3129329461869024
rl1_a0.5_s1,1865.432807409729,321.43930888594554,-719.2827369896,809.4054424811821,2396.1214304191644,74.51311991365746,-413.37944781582337,1658784.01662984,-2045.2653777512824,-10099.485894992298,-2.1756514695164393
rl1_a0.5_s2,2010.6240821779984,717.6324711775534,-1901.4098013979192,947.9865110835937,5776.755385585359,193.09266531317428,-1070.0485658149084,2259019.817015511,-2499.715597510897,-9864.032698697303,-3.5791851052600605
rl1_a0.5_s4,686.8327729803034,1283.1803093456367,0.0,51.94549946225659,2032.7047560107203,-40.66440654362195,-1327.7736707025113,1621219.6638444704,-2031.6351912032144,-1614.7081339198735,-2.369605513896514
rl1_a0.5_s3,1085.0642536211876,788.9685636894549,0.0,214.19572539021084,2506.5462161922387,-202.57653418058203,-750.6019559196037,1460814.8471612376,-1927.7615285118975,-1223.436705054026,-2.0595476542139712
rl1_a0.7_s0,2617.041177656477,0.0,-1907.8090795973735,1327.0109704291413,3631.605089168853,1091.5626942824038,-372.45694816273215,1977246.3459394209,-2247.586362896778,-26199.52013776369,-2.1732578432068537
rl1_a0.7_s2,2802.7456270284542,0.0,-2212.796983505642,1417.773753898682,5657.006388283834,64.31688227875841,-349.8019491733529,2135831.8526969394,-2387.900202828728,-18676.5836637745,-4.59250399567867
rl1_a0.7_s1,1912.7218026062255,44.43987035716879,-1354.508362385371,965.060005890287,2823.0977714878095,586.8470463156846,-284.0552869014394,1918463.0193298904,-1955.6031965989027,-15564.871665540044,-4.19834204821184
rl1_a0.7_s4,2368.1963084044496,0.0,-1767.092344118885,1198.9184666291535,2986.826488622858,939.6596600644936,-288.32158132183946,1808952.4665479895,-2038.537236253295,-24960.662483231416,-2.8489426732611274
rl1_a0.7_s3,787.6695324055754,124.90792552665744,-282.32566471366334,342.81957868628746,641.9056082258265,-308.06733156038365,-295.1936090618517,695076.642923238,-860.0479385538571,-12227.648865149062,-5.403290218341646
rl1_a0.85_s1,2653.2728701119877,0.0,-2193.3670374074,1348.2449093671446,4916.744882684365,912.1273627648524,-411.0887294149778,2039481.0028015363,-2259.32288475726,-22243.79670534204,-3.2023724913147
rl1_a0.85_s0,2677.9618299881126,0.0,-1971.9698713561736,1354.569189880376,3682.4660105293938,502.3120903615807,-292.2930593738341,2041274.6124576195,-2305.5858933766085,-24111.18952486206,-2.938330078376242
rl1_a0.85_s3,2748.355962883245,0.0,-1113.111998443786,1384.0748733679995,692.668971332311,-667.6864814854188,-887.6182890563217,2062271.56131832,-2490.3594221041685,-22498.1465539352,-5.352344198331912
