,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire
eco_s1,-114.27529711494078,1158.0924279361739,0.0,-154.18414938992515,1165.3411940294434,154.18414938992515,-1478.811093131469,2855864.5393015877,-1253.3479529013953,-1238.18800277838,-2.6528966628842743
eco_s2,-130.57281325561365,1272.0395231433076,0.0,-169.70188885079648,1267.8369204545252,167.24782244703476,-1632.567858842213,4032647.888519611,-1404.1085952525502,-1584.4273810905854,-2.5593108829223308
eco_s3,-128.03677226668117,1283.6449384265786,0.0,-170.27897329135664,1291.6516598599087,170.27897329135664,-1610.025620119395,2874818.950475822,-1400.7369354975708,-1337.1360721148815,-2.8258441982002873
eco_s4,-124.34623435330795,1300.7004438169454,0.0,-172.69806423575386,1308.8448570694627,172.69806423575386,-1668.0264085025506,3930974.131039994,-1406.6149769693648,-437.81244351103,-1.9627261208992905
gdp_s0,2747.774824772621,0.0,-2163.4761911529067,1384.8611902521382,931.3696293782754,1122.5852211457411,-421.3151817382418,5624180.650609763,-2316.818935961983,-23178.352976303344,-1.920791928006861
gdp_s1,2135.9109452530242,0.0,-1313.2255613466402,1078.5964843448091,1124.7824517332929,-89.54580072427777,-410.3228116117107,4806453.837756138,-1866.4156095088574,-12432.76052189462,-2.540594851720508
gdp_s2,1746.2305657252102,0.0,-1434.0124674828294,881.5694784562703,368.94322525500166,1525.0274191314284,-263.766332667912,3988476.0167752416,-1465.3655804349842,-23740.57620957482,-3.2135322265219033
gdp_s3,2337.2348998730645,0.0,-1552.4118259206425,1179.1107510211248,1069.829031783946,282.0868145185763,-454.7328175613661,4709723.440348417,-2020.878814320734,-20084.74151613056,-2.5686624480471267
gdp_s4,707.9957162438126,0.0,-604.5157987896728,355.96247670602025,179.32486935523008,688.4752098748272,-108.35972726513464,1230355.727919339,-587.441488500027,-10952.801464425176,-3.8572610859684278
res_s0,0.0,0.0,1162.0567164557788,0.0,-88.43571455709261,-363.65298927544814,-296.70164597148073,4116932.6170366667,-1936.7611940929646,-11649.425010551991,-2.747354076876309
res_s1,0.0,0.0,1132.4610160727236,0.0,-157.49314143177773,-469.36430985647064,-227.9935740692818,4031189.5950139593,-1887.4350267878726,-13705.429204286515,-2.973259712344245
res_s2,0.0,0.0,585.6338146500573,0.0,10.029199580983521,71.8831430948531,-199.76284976016788,1996598.4650961736,-976.0563577500955,-7712.586440809152,-3.0389546152458533
res_s3,0.0,0.0,1060.4470993449759,0.0,-79.56500053021932,-556.3119985778563,-174.88222428606042,3421100.238440993,-1767.4118322416266,-16033.232648556248,-3.0132288864414494
res_s4,0.0,0.0,625.9699694531129,0.0,-27.687568795708344,-180.11258732270312,-177.11085883439176,2530839.0395133113,-1043.283282421855,-7336.298780685748,-3.9423388462987328
emp_s0,2747.774824772621,0.0,-2163.4761911529067,1384.8611902521382,931.3696293782754,1122.5852211457411,-421.3151817382418,5624180.650609763,-2316.818935961983,-23178.352976303344,-1.920791928006861
emp_s1,2135.9109452530242,0.0,-1313.2255613466402,1078.5964843448091,1124.7824517332929,-89.54580072427777,-410.3228116117107,4806453.837756138,-1866.4156095088574,-12432.76052189462,-2.540594851720508
emp_s2,1746.2305657252102,0.0,-1434.0124674828294,881.5694784562703,368.94322525500166,1525.0274191314284,-263.766332667912,3988476.0167752416,-1465.3655804349842,-23740.57620957482,-3.2135322265219033
emp_s3,2337.2348998730645,0.0,-1552.4118259206425,1179.1107510211248,1069.829031783946,282.0868145185763,-454.7328175613661,4709723.440348417,-2020.878814320734,-20084.74151613056,-2.5686624480471267
emp_s4,707.9957162438126,0.0,-604.5157987896728,355.96247670602025,179.32486935523008,688.4752098748272,-108.35972726513464,1230355.727919339,-587.441488500027,-10952.801464425176,-3.8572610859684278
cpt_s0,307.55346014069056,1043.9378055513407,42.19809784411659,-41.54258362712633,939.4690288047434,-86.30422423779139,720.9806176891603,3802329.035545668,-1701.7775449831265,-18517.452490575994,-3.7993623762257522
cpt_s1,372.636849759136,686.4015657934099,-139.91059197181164,5.634162811345931,568.1497134558762,-82.03328594109763,675.3802612866904,3475920.8890680484,-1419.9459334396156,-19113.657648711152,-4.71502221141593
cpt_s2,235.2539083274456,991.5817387384172,66.04780718250954,-57.624751930297045,865.2410895638479,-49.34371364123098,637.2843083439467,3472206.301112491,-1524.6470962058552,-23935.176434595513,-2.5594259220922675
cpt_s3,386.0257998114912,744.9739201850066,151.6836882299647,-61.2010147757956,494.8430172112266,-210.90252213384608,685.8461283298669,3713970.0580068836,-1693.0764130135185,-31512.393667443852,-4.27995082767453
cpt_s4,-78.54049971754216,83.16167145599286,20.24386800510176,-69.49680503735168,11.163205421354455,-87.07465647586741,267.2934323758538,1016429.6160682,-451.22099401393524,-14271.64835378049,-6.603934196966303
