alpha,seed,立项数,均年,E可交付数,可交付率_概率,立项数_中位,均年_中位,立项数_乐观,均年_乐观,盲区率,成本,成本_中位,组
0.3,4,22.0,6.409090909090909,7.51112609647428,0.3414148225670127,10.0,3.0,14.0,4.0,0.36363636363636365,13430.0,5400.0,g010_lockden
0.5,0,45.0,7.0,13.480793641047072,0.29957319202326826,18.0,2.5,24.0,3.5,0.4666666666666667,12390.0,2900.0,g010_lockden
0.5,1,33.0,5.909090909090909,11.98512793931107,0.3631856951306385,16.0,2.25,21.0,3.2857142857142856,0.36363636363636365,13490.0,5390.0,g010_lockden
0.5,2,27.0,7.444444444444445,6.8692466267382795,0.2544165417310474,9.0,3.0,13.0,4.076923076923077,0.5185185185185185,13500.0,5400.0,g010_lockden
0.5,3,27.0,5.148148148148148,11.81112793931107,0.43744918293744706,16.0,2.25,20.0,3.1,0.25925925925925924,13480.0,5360.0,g010_lockden
0.5,4,36.0,7.138888888888889,10.216290805351303,0.2837858557042029,13.0,2.6153846153846154,19.0,3.8421052631578947,0.4722222222222222,13490.0,5360.0,g010_lockden
0.7,0,44.0,6.840909090909091,13.480793641047068,0.30638167366016067,18.0,2.5,24.0,3.5,0.45454545454545453,12460.0,3220.0,g010_lockden
0.7,1,26.0,6.961538461538462,8.197513103615304,0.31528896552366553,11.0,2.3636363636363638,14.0,3.2857142857142856,0.46153846153846156,13470.0,5400.0,g010_lockden
0.7,2,34.0,7.235294117647059,9.60176641778079,0.2824048946406115,13.0,3.0,18.0,4.0,0.47058823529411764,13490.0,5390.0,g010_lockden
0.7,3,45.0,7.0,13.480793641047072,0.29957319202326826,18.0,2.5,24.0,3.5,0.4666666666666667,7730.0,2950.0,g010_lockden
0.7,4,30.0,6.733333333333333,9.161195760698048,0.3053731920232683,12.0,2.25,17.0,3.5294117647058822,0.43333333333333335,13470.0,5390.0,g010_lockden
0.85,0,24.0,7.541666666666667,6.015460394738279,0.250644183114095,8.0,2.625,11.0,3.727272727272727,0.5416666666666666,13480.0,5380.0,g010_lockden
0.85,1,37.0,7.513513513513513,10.042290805351303,0.27141326500949464,13.0,2.6153846153846154,18.0,3.6666666666666665,0.5135135135135135,13500.0,5400.0,g010_lockden
0.85,2,45.0,7.0,13.480793641047072,0.29957319202326826,18.0,2.5,24.0,3.5,0.4666666666666667,11200.0,2350.0,g010_lockden
0.85,3,3.0,2.0,2.1179491339597676,0.7059830446532558,3.0,2.0,3.0,2.0,0.0,560.0,560.0,g010_lockden
0.85,4,10.0,2.2,6.730314484044792,0.6730314484044791,10.0,2.2,10.0,2.2,0.0,5350.0,5350.0,g010_lockden
0.0,0,28.0,7.642857142857143,6.8692466267382795,0.24533023666922427,9.0,2.888888888888889,13.0,4.0,0.5357142857142857,13490.0,5360.0,g010_lockden
0.0,1,15.0,7.0,4.493597880349024,0.29957319202326826,6.0,2.5,8.0,3.5,0.4666666666666667,13440.0,5360.0,g010_lockden
0.0,2,20.0,5.55,8.023513103615304,0.4011756551807652,11.0,1.9090909090909092,13.0,2.6153846153846154,0.35,13360.0,5280.0,g010_lockden
0.0,3,18.0,7.222222222222222,5.199580925002279,0.2888656069445711,7.0,2.2857142857142856,9.0,3.2222222222222223,0.5,13500.0,5400.0,g010_lockden
0.0,4,33.0,6.121212121212121,11.564153319740559,0.35042888847698667,15.0,2.4,21.0,3.5714285714285716,0.36363636363636365,13400.0,5380.0,g010_lockden
1.0,0,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,g010_lockden
1.0,1,22.0,7.2727272727272725,5.37358092500228,0.24425367840919454,7.0,2.142857142857143,10.0,3.5,0.5454545454545454,13500.0,5350.0,g010_lockden
1.0,2,40.0,7.375,10.720965037351302,0.26802412593378255,14.0,2.5714285714285716,20.0,3.75,0.5,11310.0,5400.0,g010_lockden
1.0,3,45.0,7.0,13.480793641047072,0.29957319202326826,18.0,2.5,24.0,3.5,0.4666666666666667,13470.0,3720.0,g010_lockden
1.0,4,20.0,7.3,5.54869292500228,0.277434646250114,7.0,2.4285714285714284,10.0,3.6,0.5,13470.0,5390.0,g010_lockden
0.15,0,21.0,7.285714285714286,6.015460394738279,0.2864504949875371,8.0,2.625,11.0,3.727272727272727,0.47619047619047616,13500.0,5380.0,g010_ownden
0.15,1,34.0,8.294117647058824,6.686375582085023,0.19665810535544184,8.0,3.0,14.0,4.5,0.5882352941176471,13500.0,5370.0,g010_ownden
0.15,2,24.0,7.708333333333333,6.015460394738279,0.250644183114095,8.0,2.625,11.0,3.727272727272727,0.5416666666666666,13470.0,5380.0,g010_ownden
0.15,3,25.0,5.72,9.693178805351303,0.38772715221405213,13.0,2.3076923076923075,17.0,3.2941176470588234,0.32,13440.0,5360.0,g010_ownden
0.15,4,42.0,7.142857142857143,11.985127939311074,0.285360189031216,16.0,2.25,21.0,3.2857142857142856,0.5,13090.0,5380.0,g010_ownden
0.3,0,23.0,6.434782608695652,7.639333246308792,0.33214492375255616,10.0,2.5,14.0,3.642857142857143,0.391304347826087,13500.0,5380.0,g010_ownden
0.3,1,19.0,7.526315789473684,4.842709880349023,0.2548794673867907,6.0,2.5,9.0,3.7777777777777777,0.5263157894736842,13480.0,5360.0,g010_ownden
0.3,2,18.0,6.055555555555555,6.611547014308792,0.36730816746159956,9.0,2.111111111111111,11.0,2.909090909090909,0.3888888888888889,13440.0,5360.0,g010_ownden
0.3,3,20.0,6.95,6.015460394738279,0.300773019736914,8.0,2.625,11.0,3.727272727272727,0.45,13450.0,5380.0,g010_ownden
0.3,4,34.0,6.588235294117647,11.215041319740559,0.3298541564629576,15.0,2.4,20.0,3.45,0.4117647058823529,13500.0,5380.0,g010_ownden
0.5,0,24.0,7.916666666666667,6.015460394738279,0.250644183114095,8.0,2.625,11.0,3.727272727272727,0.5416666666666666,13495.0,5380.0,g010_ownden
0.5,1,15.0,7.0,4.493597880349024,0.29957319202326826,6.0,2.5,8.0,3.5,0.4666666666666667,13500.0,5370.0,g010_ownden
0.5,2,27.0,8.555555555555555,5.19958092500228,0.19257707129638074,7.0,2.142857142857143,9.0,3.111111111111111,0.6666666666666666,12330.0,5330.0,g010_ownden
0.5,3,37.0,7.324324324324325,10.509058275087304,0.28402860202938657,14.0,2.5,19.0,3.5789473684210527,0.4864864864864865,13200.0,5400.0,g010_ownden
0.5,4,29.0,7.275862068965517,8.015754058962049,0.27640531237800164,10.0,2.0,14.0,3.2142857142857144,0.5172413793103449,13500.0,5400.0,g010_ownden
0.7,0,23.0,7.565217391304348,6.254675969655535,0.27194243346328417,8.0,2.5,11.0,3.5454545454545454,0.5217391304347826,13420.0,5380.0,g010_ownden
0.7,1,21.0,7.0,6.410238201655536,0.3052494381740732,9.0,2.7777777777777777,11.0,3.4545454545454546,0.47619047619047616,13480.0,5370.0,g010_ownden
0.7,2,44.0,6.840909090909091,13.480793641047068,0.30638167366016067,18.0,2.5,24.0,3.5,0.45454545454545453,13500.0,5230.0,g010_ownden
0.7,3,27.0,5.555555555555555,10.931144894657816,0.40485721832065985,15.0,2.3333333333333335,18.0,3.0,0.3333333333333333,13480.0,5380.0,g010_ownden
0.7,4,9.0,3.0,6.161536677127535,0.684615186347504,9.0,3.0,9.0,3.0,0.0,3370.0,3370.0,g010_ownden
0.85,0,32.0,7.03125,10.005496043087302,0.3126717513464782,13.0,2.1538461538461537,17.0,3.1176470588235294,0.46875,13500.0,5400.0,g010_ownden
0.85,1,44.0,6.840909090909091,13.480793641047068,0.30638167366016067,18.0,2.5,24.0,3.5,0.45454545454545453,12950.0,3700.0,g010_ownden
0.85,2,26.0,7.230769230769231,6.8692466267382795,0.2642017933360877,9.0,3.0,13.0,4.076923076923077,0.5,13500.0,5400.0,g010_ownden
0.85,3,22.0,7.863636363636363,4.841597880349023,0.2200726309249556,6.0,2.5,10.0,4.2,0.5454545454545454,13490.0,5390.0,g010_ownden
0.85,4,23.0,7.869565217391305,4.842709880349024,0.21055260349343582,6.0,2.5,9.0,3.7777777777777777,0.6086956521739131,13500.0,5390.0,g010_ownden
0.0,0,34.0,7.911764705882353,8.281212716044791,0.24356507988367035,11.0,2.8181818181818183,15.0,3.8,0.5588235294117647,13460.0,5390.0,g010_ownden
0.0,1,24.0,5.583333333333333,9.263206097879305,0.385966920744971,12.0,2.0833333333333335,17.0,3.3529411764705883,0.2916666666666667,12400.0,3040.0,g010_ownden
0.0,2,31.0,6.741935483870968,9.693178805351303,0.31268318726939687,13.0,2.3076923076923075,17.0,3.2941176470588234,0.45161290322580644,13440.0,5360.0,g010_ownden
0.0,3,15.0,4.8,6.721443439391535,0.44809622929276904,9.0,2.3333333333333335,12.0,3.4166666666666665,0.2,12150.0,5380.0,g010_ownden
0.0,4,24.0,5.333333333333333,10.22516185000456,0.42604841041685665,14.0,2.2857142857142856,17.0,3.0,0.2916666666666667,13480.0,5390.0,g010_ownden
1.0,0,27.0,5.62962962962963,11.42522117704707,0.4231563398906322,16.0,2.1875,18.0,2.6666666666666665,0.3333333333333333,13350.0,5240.0,g010_ownden
1.0,1,24.0,6.0,9.455075230434048,0.393961467934752,13.0,2.6153846153846154,16.0,3.3125,0.3333333333333333,13470.0,5370.0,g010_ownden
1.0,2,26.0,8.384615384615385,5.0167098803490235,0.192950380013424,6.0,2.5,10.0,4.1,0.6153846153846154,13500.0,5390.0,g010_ownden
1.0,3,24.0,8.291666666666666,4.842709880349024,0.201779578347876,6.0,2.5,9.0,3.7777777777777777,0.625,13490.0,5390.0,g010_ownden
1.0,4,18.0,6.777777777777778,5.199580925002279,0.2888656069445711,7.0,2.142857142857143,9.0,3.111111111111111,0.5,13400.0,5390.0,g010_ownden
