alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio,far_growth_eff,budget_eff,carry_eff,t_dec_eff,t_eval_eff,obs_lifecycle_eff,budget_mode_eff,stage_init_eff,quota_eff,tau_valid_eff,tau_ext_eff,hazard_eff,build_years_eff,gamma_eff,inst_tag_eff
0.3,4,-158.48064940919207,10731.619250753396,0.0,-1238.61203145654,11189.26018172361,1268.9098307124652,-8237.013136248343,10878330.214000676,-12659.469438998585,-3047.0402329838225,-4.823994588986574,29.0,495.0,0.06666666666666667,0.0,0.9982716049382716,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,2.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q2
0.5,0,7480.812434416215,5674.953611891791,0.0,1513.1459242388275,12826.097319451821,-1232.602562887411,-2704.5948993590077,9969356.50714067,-13207.405756661898,-22692.483627454443,-4.93943295777831,30.0,448.0,0.0,0.0,0.9983950617283951,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,2.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q2
0.5,1,7250.726532055705,5570.300711295588,0.0,1476.0371459498624,12337.5555331748,-1189.1018221789623,-2573.6880170113373,9597751.216195302,-12734.396343832912,-24752.61394269658,-4.6720055268039795,30.0,447.0,0.0,0.0,0.9990123456790123,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,2.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q2
0.5,2,7148.75006224651,5586.211884054678,0.0,1458.1352199555322,10944.197618847897,-1157.8605891716281,-3081.2437263123566,9297007.781830583,-12363.716195709882,-27534.190097269427,-5.452596396503252,30.0,447.0,0.0,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,2.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q2
0.5,3,5067.80162999972,7014.351699724028,0.0,665.8686830690115,10368.882711452816,-403.3263084854574,-3229.886771808854,9924524.316936886,-12641.002550764688,-25134.64480575393,-5.5844751704888065,30.0,463.0,0.0,0.0,0.998641975308642,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,2.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q2
0.5,4,7149.4482652951465,5480.0877417706915,0.0,1451.3452819132021,13901.988686269548,-1250.3601739980322,-3091.506945425035,9514876.730281377,-12612.49100658344,-15785.233868179032,-4.619051233482037,30.0,447.0,0.0,0.0,0.997037037037037,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,2.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q2
0.7,0,14786.918889763849,0.0,-12473.039141568008,7459.30877896913,529.9758141835146,4908.853660840378,-1246.9354392568998,11114370.080664005,-12342.490449078981,-63161.66993586542,-5.1590279503140595,30.0,489.0,0.0,0.0,0.9982716049382716,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,2.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q2
0.7,1,15167.677364723111,0.0,-13026.434949953486,7658.545646924174,545.8609092989961,5396.992838740538,-1303.23343928332,11411233.01391702,-12635.449092394492,-61980.027128381094,-5.083362682704987,30.0,487.0,0.0,0.0,0.9967901234567901,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,2.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q2
0.7,2,14911.547017573175,0.0,-12534.60832352231,7526.5326340200245,548.9882285929825,4017.0713857837227,-1151.8138661935704,11214533.624689836,-12462.195038518332,-56243.79723432248,-5.217171285535567,30.0,488.0,0.0,0.0,0.9990123456790123,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,2.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q2
0.7,3,15565.145374484166,0.0,-12696.750099681743,7853.7043908814885,559.5577253519207,4933.789499861122,-1198.400002519404,11702019.54241342,-13067.70347242392,-70569.70348832387,-4.788883978225169,30.0,487.0,0.0,0.0,0.9977777777777778,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,2.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q2
