uid,通道,格数,row,col,压力,距路m
25,P1 产业拆除重建,13,46.0,110.46153846153847,1.8802232027664725,31.595136642456055
26,P1 产业拆除重建,11,43.45454545454545,107.81818181818181,1.9786598199060916,34.163185119628906
27,P1 产业拆除重建,14,42.357142857142854,100.57142857142857,2.2798939632598514,35.595855712890625
28,P1 产业拆除重建,8,40.0,105.75,1.4181009146056955,35.850547790527344
29,P1 产业拆除重建,7,39.142857142857146,98.42857142857143,2.421852389939866,33.317970275878906
30,P1 产业拆除重建,9,36.44444444444444,111.88888888888889,1.648872822101028,25.868343353271484
31,P1 产业拆除重建,6,41.166666666666664,97.0,2.4048842725337427,47.61966323852539
32,P1 产业拆除重建,13,37.76923076923077,53.84615384615385,2.1194520949707982,37.583492279052734
33,P1 产业拆除重建,15,41.06666666666667,55.2,1.9444041386077286,25.078832626342773
34,P1 产业拆除重建,11,39.72727272727273,51.09090909090909,2.0438136987635476,36.34223937988281
35,P1 产业拆除重建,2,36.0,58.5,1.504967319463698,49.31929016113281
36,P1 产业拆除重建,1,39.0,92.0,2.1148180166638157,72.74967956542969
37,P1 产业拆除重建,11,47.36363636363637,26.454545454545453,2.4087512006278824,28.221111297607422
38,P1 产业拆除重建,8,47.375,22.875,1.727603588397504,35.891204833984375
39,P1 产业拆除重建,19,51.68421052631579,21.68421052631579,1.965761359109503,33.50834274291992
40,P1 产业拆除重建,11,42.09090909090909,29.636363636363637,1.7667130405584575,31.960474014282227
41,P1 产业拆除重建,15,41.8,33.53333333333333,1.8858316806301034,30.466806411743164
42,P1 产业拆除重建,9,44.333333333333336,27.555555555555557,2.005270393753393,27.498783111572266
43,P1 产业拆除重建,20,45.3,40.75,2.100318866822012,33.348350524902344
44,P1 产业拆除重建,7,44.42857142857143,91.71428571428571,1.8796130081567775,45.775814056396484
45,P1 产业拆除重建,20,48.05,45.6,2.1324074000513353,30.00209617614746
46,P1 产业拆除重建,13,47.0,87.0,1.4730451163344855,43.17587661743164
47,P1 产业拆除重建,10,50.0,78.5,1.913870658585133,28.580142974853516
48,P1 产业拆除重建,10,51.5,84.8,2.1266062057040545,30.272293090820312
49,P1 产业拆除重建,11,47.81818181818182,82.0909090909091,1.6982903454466458,31.897186279296875
50,P1 产业拆除重建,10,48.7,53.1,1.3762033923217196,28.12221336364746
51,P1 产业拆除重建,10,58.2,57.3,2.019615908566647,71.64588165283203
52,P1 产业拆除重建,11,53.18181818181818,57.09090909090909,1.724633954567775,27.5175838470459
53,P1 产业拆除重建,11,51.27272727272727,54.36363636363637,2.092109025632268,24.089815139770508
54,P1 产业拆除重建,6,54.833333333333336,15.333333333333334,2.0739256770455783,17.907705307006836
55,P1 产业拆除重建,14,51.285714285714285,6.642857142857143,1.3881279183092976,50.272945404052734
56,P1 产业拆除重建,14,55.857142857142854,7.285714285714286,1.756074306232587,41.109375
57,P1 产业拆除重建,12,54.166666666666664,12.666666666666666,2.1950801790754872,32.41432571411133
58,P1 产业拆除重建,8,54.625,10.375,2.187220483682869,43.309532165527344
