policy,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_init,n_done_T,n_done_all,n_expire,spend,crh_T,crh_all
frontload,2,3759.673444742961,418.5762252523622,-3534.5395121827314,1791.9059419431246,316.00357377549574,470.6428091729883,611.40042335481,3207021.4477101313,-3549.219768037015,-19217.464435430233,-3.4621909183574204,15,10,10,5,7460.0,0.6666666666666666,0.6666666666666666
frontload,3,2087.587948186123,501.4252037141898,-1854.580861650822,942.3294146990081,337.33538659072053,-242.62491601765623,641.7561011425714,2044166.8498800686,-2308.7945329401805,-16231.7739808231,-3.353764864490233,15,10,10,5,7460.0,0.6666666666666666,0.6666666666666666
frontload,4,895.6799209795738,200.07675128954617,-748.9021538606579,402.7473810664472,131.2884372585171,396.4395191614346,324.8646344480608,858060.2240627999,-976.7874720075546,-11410.472949938303,-5.492887102339841,15,7,7,8,7460.0,0.4666666666666667,0.4666666666666667
evenspread,0,1176.9484626648732,329.7747179715496,-865.3188091591272,519.0567289845118,230.51484444067668,142.69125953503536,540.983701822513,1198414.7368792065,-1388.2093888200866,-14590.202788577708,-3.1924325982975965,15,6,9,6,7460.0,0.4,0.6
evenspread,1,2528.6582113094173,250.59550646153625,-2447.0499498223453,1229.249309192109,226.0836684821273,421.1467259422455,346.96859758579075,2146321.1081658816,-2353.6275557763506,-11059.684498625156,-3.3012360136734173,15,5,9,6,7460.0,0.3333333333333333,0.6
evenspread,2,1421.1033155259292,384.3989802634662,-1193.836861337379,621.2447184638633,230.9196059651965,118.00225553907467,504.3737351465247,1421521.8225309942,-1625.1319725030285,-15056.719641344585,-3.087783425640002,15,5,9,6,7460.0,0.3333333333333333,0.6
evenspread,3,1948.9023805054735,281.324134772176,-1723.697966951405,931.2290273806909,220.42130618670697,712.4734838234085,419.4108713158522,1741224.975216427,-1945.6257064570889,-13740.916988141444,-3.202865654482915,15,5,9,6,7460.0,0.3333333333333333,0.6
evenspread,4,1354.9493720927228,296.0569746559277,-1104.2558053138464,618.8238060733643,159.99379784128942,584.8547108228078,342.1295352379817,1300056.6531556821,-1481.575575445613,-14273.675334025475,-4.310768739796107,15,3,7,8,7460.0,0.2,0.4666666666666667
backload,0,1152.1850888758481,211.94986460193516,-1060.8023358859418,535.094420087047,132.6139605212382,426.0598956557054,263.32501699988586,1065575.311902209,-1190.5610702342728,-10621.688389655372,-2.3875221299350824,15,0,9,6,7460.0,0.0,0.6
backload,1,2344.211203661471,203.6573688464285,-2129.9016557100667,1136.6834823440388,169.99228731645115,529.5190100582695,281.01729299507,1951861.4016724057,-2163.1405746249166,-11738.766656289481,-2.1158539437097805,15,0,10,5,7460.0,0.0,0.6666666666666666
backload,2,2251.0553708412117,250.61704794555345,-2116.2593691414004,1072.88027908209,189.20301255072948,281.79123503878736,366.06801812850773,1920162.2056737978,-2125.048980598831,-11506.205835991897,-2.072941593516233,15,0,10,5,7460.0,0.0,0.6666666666666666
backload,3,1249.916018487886,300.2217917288145,-1110.406068674888,564.207429511177,201.97515686412316,-145.26849959938014,384.2430837356585,1223918.2029897503,-1382.3605719829054,-9718.562671687176,-2.008022909890098,15,0,10,5,7460.0,0.0,0.6666666666666666
backload,4,536.2766544245827,119.79334167986119,-448.3953833915596,241.13973422599747,78.60723708155444,237.36298429585187,194.5084568962267,513752.35223755817,-584.8387412761966,-6831.871649308372,-3.2887944112369234,15,0,7,8,7460.0,0.0,0.4666666666666667
oracle,0,14781.183638278428,681.3503678871317,-13878.689409245086,7304.891563847462,838.5166146273741,5732.469493371582,485.88611762253663,11755170.645973096,-12891.118946928407,-53740.32461261697,0.0,30,30,30,0,22330.0,1.0,1.0
oracle,1,14781.183638278428,681.3503678871317,-13878.689409245086,7304.891563847462,838.5166146273741,5732.469493371582,485.88611762253663,11755170.645973096,-12891.118946928407,-53740.32461261697,0.0,30,30,30,0,22330.0,1.0,1.0
oracle,2,14781.183638278428,681.3503678871317,-13878.689409245086,7304.891563847462,838.5166146273741,5732.469493371582,485.88611762253663,11755170.645973096,-12891.118946928407,-53740.32461261697,0.0,30,30,30,0,22330.0,1.0,1.0
oracle,3,14781.183638278428,681.3503678871317,-13878.689409245086,7304.891563847462,838.5166146273741,5732.469493371582,485.88611762253663,11755170.645973096,-12891.118946928407,-53740.32461261697,0.0,30,30,30,0,22330.0,1.0,1.0
oracle,4,14781.183638278428,681.3503678871317,-13878.689409245086,7304.891563847462,838.5166146273741,5732.469493371582,485.88611762253663,11755170.645973096,-12891.118946928407,-53740.32461261697,0.0,30,30,30,0,22330.0,1.0,1.0
