alpha,seed,trained_g,eval_g,n_initiated,first_year,last_year,mean_year,idle_years,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire
0.15,1,0.0,0.05,33.0,0.0,14.0,5.757575757575758,0.0,32.71342842707494,2026.2870491466595,-169.94324756989926,-173.57492945532792,2043.4149886808998,172.91827010586508,-1904.0587338362893,3634769.2373590334,-2410.279867789877,-8243.461248595326,-5.080578430549833
0.15,2,0.0,0.05,19.0,0.0,14.0,6.947368421052632,0.0,-169.31024139199738,2159.7518611294267,0.0,-292.7156571302809,2173.6015701835736,292.7156571302809,-2729.9839214630692,3681295.2860753485,-2379.1823916147646,-276.04472251476636,-1.9647811958058656
0.15,3,0.0,0.05,17.0,0.0,14.0,7.470588235294118,0.0,-229.38850784860315,1823.873385522948,0.0,-251.83761542107237,1437.244461518722,162.46886328360355,-1008.599802186859,3039829.895333195,-2014.700923368579,-4524.1539701094825,-1.7215720268481889
0.15,4,0.0,0.05,21.0,0.0,14.0,7.285714285714286,0.0,-232.92837971576128,1888.8023953902805,0.0,-256.1723948373232,1690.5342529676498,208.56398481711932,-1153.2749934065018,3214110.6302940752,-2077.6373737787617,-5801.888038436833,-2.742996246514319
0.3,0,0.0,0.05,16.0,0.0,14.0,6.875,0.0,1046.2070481946466,747.8975793317684,0.0,206.15334901624374,2483.6756320672725,-197.31447892580522,-988.6735439415785,2388873.953094062,-1855.3801411461936,-2707.794998386695,-2.110274932360357
0.3,1,0.0,0.05,15.0,0.0,14.0,7.0,0.0,1256.7889707675768,916.8470363814155,0.0,247.63539240337823,2922.575554844135,-234.95353331862498,-937.645934914112,2929939.162263201,-2228.718531630404,-1967.8382189820884,-1.2176245573686146
0.3,2,0.0,0.05,34.0,0.0,14.0,6.0588235294117645,0.0,-284.33208643968686,2256.1329289365895,0.0,-310.0830576761887,2158.863760454759,297.02625215673726,-2194.139984068777,3944032.725237219,-2541.2658452408746,-6898.121761996484,-4.225373738925705
0.3,3,0.0,0.05,20.0,0.0,14.0,8.3,0.0,-159.06887180394756,2113.213282499481,0.0,-287.0685168523722,2126.7927041141775,287.0685168523722,-2635.165527866309,3512313.9686243497,-2296.548134818978,-16.2324170333856,-1.6438076586917567
0.3,4,0.0,0.05,38.0,0.0,14.0,6.7105263157894735,0.0,48.20437682552897,2164.865018209478,-163.76787662482383,-185.45711301104103,2930.6950254827048,209.82023898950462,-2138.343430439877,3876392.101842238,-2564.857036502587,-3809.7498014424464,-5.327048238147457
0.5,0,0.0,0.05,23.0,0.0,14.0,7.217391304347826,0.0,2672.5633611946723,0.0,-1823.0978232046557,1351.2985893497867,3909.472498279995,632.4082636110908,-272.52379080957064,3531325.261234008,-2308.660968875478,-21641.957695951045,-2.4691292181379145
0.5,1,0.0,0.05,23.0,0.0,14.0,7.130434782608695,0.0,2475.5233274741377,0.0,-1452.0552279849835,1255.7221885139934,3465.436100288517,418.45271625903797,-415.5743320764715,3299096.206459487,-2185.720359796223,-18276.80755808061,-2.531478178588624
0.5,2,0.0,0.05,23.0,0.0,14.0,8.0,0.0,2288.0881671337547,0.0,-1288.0857909821837,1154.5831796438347,1694.2326024620227,229.0476682169602,-420.0633771407879,2969610.403124548,-2017.513182147716,-20817.871690203872,-2.1548693179877967
0.5,3,0.0,0.05,22.0,0.0,14.0,7.318181818181818,0.0,2654.9840484280444,0.0,-1669.4449819359718,1345.9859626840346,3689.524498252128,581.8039300425152,-390.11039002845956,3530947.979927951,-2323.998697533138,-23498.053122597015,-1.7395274459303374
0.5,4,0.0,0.05,25.0,0.0,14.0,7.72,0.0,2556.382430875275,0.0,-1776.2810252095653,1292.777591855923,3626.3243864684555,731.5038193673636,-267.7375534945462,3455744.7567898156,-2233.097014216735,-24287.436934887897,-2.6057484635382826
0.7,0,0.0,0.05,39.0,0.0,12.0,6.0,2.0,1177.9807613302964,0.0,-659.0352285451002,593.2387550346162,970.3327394352009,-480.85559774626597,-356.9783475534996,1562538.3756426529,-1037.0890549760747,-17138.478022182473,-5.078073356856246
0.7,1,0.0,0.05,26.0,0.0,14.0,7.5,0.0,2751.1095436990827,0.0,-1786.5895229916605,1385.9649229325319,463.9947806679978,944.2255673914444,-640.1565558822724,3659888.5084795193,-2381.767263837618,-30546.090766781235,-2.5309940202095875
0.7,2,0.0,0.05,24.0,0.0,14.0,8.208333333333334,0.0,2383.3864867261873,0.0,-1121.9056071071227,1205.4061997243994,2184.677555975592,-83.96500711035522,-493.9523921081785,3086157.3460334763,-2143.4677182826517,-24006.19149107468,-2.115446353205633
0.7,3,0.0,0.05,20.0,0.0,14.0,7.35,0.0,2129.094872501168,0.0,-1067.1434772982607,1076.766854219135,1659.8091853089304,286.5425434588833,-422.71141028472056,2794435.191904441,-1903.892005273951,-19993.182279384862,-2.4003066497949477
0.7,4,0.0,0.05,20.0,0.0,14.0,6.15,0.0,2702.797157972303,-24.95494153570686,-1983.0552163545497,1369.8302385561767,3593.18105844327,956.2634637421285,-303.3869846078933,3600536.824342846,-2324.2665682071747,-23539.35724493854,-2.4859561310295764
0.85,0,0.0,0.05,26.0,0.0,14.0,7.5,0.0,2791.552170491164,0.0,-1626.694204716671,1415.8038644840494,3606.568536193941,300.4938382745724,-503.7411699030249,3762555.3051050203,-2471.2385247158454,-25335.79271451392,-2.1474219782268347
