组,alpha,seed,落盘,复算_g0,复算_g0.1,判定
horizon20,0.5,2,11637749.772609849,3124467.4101258675,11637749.772609847,growth=0.1
horizon20,1.0,3,11058198.934365561,2764060.4438360846,11058198.934365565,growth=0.1
horizon20,0.0,2,13027429.610879455,3297032.839543855,13027429.610879453,growth=0.1
horizon20,0.3,0,13027429.610879455,3297032.839543855,13027429.610879453,growth=0.1
horizon20,0.7,3,12905160.133262323,3602692.1150779026,12905160.133262321,growth=0.1
horizon20,0.15,1,13173369.046230227,3603098.670934543,13173369.046230227,growth=0.1
horizon20,0.85,2,11496397.370725274,3250962.2053355756,11496397.370725278,growth=0.1
horizon20,0.0,4,12697449.9247378,3394379.317173552,12697449.9247378,growth=0.1
horizon20,0.15,2,11620833.100349784,3122362.2057955046,11620833.100349784,growth=0.1
horizon20,0.85,3,11430867.539293516,2846395.738129823,11430867.539293516,growth=0.1
horizon20,0.3,2,12723224.848280761,3311899.8292642473,12723224.848280761,growth=0.1
horizon20,0.0,0,11061398.579052873,3020747.7957011573,11061398.579052873,growth=0.1
horizon20,0.15,3,11672939.432170203,3119154.222287909,11672939.432170203,growth=0.1
horizon20,1.0,1,11426209.590442557,3193841.944423637,11426209.590442557,growth=0.1
horizon20,0.5,1,11868665.760028964,3205756.8531188536,11868665.760028964,growth=0.1
horizon20,1.0,4,13865687.707685936,3443764.6409795284,13865687.707685938,growth=0.1
horizon20,0.3,4,10892294.924496466,2983313.633852272,10892294.924496466,growth=0.1
horizon20,1.0,0,10997937.288543457,3015991.3193176943,10997937.288543455,growth=0.1
relax2,0.7,0,4954364.809298048,1625283.002550808,4954364.809298048,growth=0.1
relax2,0.3,2,5691546.839450821,1907238.7773642454,5691546.839450821,growth=0.1
relax2,0.15,0,5506484.860725289,1839099.153413177,5506484.860725289,growth=0.1
relax2,0.15,4,6357758.093769537,2105858.5300437543,6357758.093769537,growth=0.1
relax2,0.7,2,6760883.573033139,2379141.8557137186,6760883.573033139,growth=0.1
relax2,1.0,0,7046512.5050333515,2340832.491013728,7046512.5050333515,growth=0.1
relax2,0.3,4,5207800.053308317,1753496.6402978743,5207800.053308317,growth=0.1
relax2,0.85,0,5521931.865860746,1833850.5385436274,5521931.865860746,growth=0.1
relax2,0.15,3,6297654.523521429,2101286.978717187,6297654.523521428,growth=0.1
relax2,0.0,3,6335562.216352634,2098966.417282411,6335562.216352635,growth=0.1
relax2,0.15,2,6039049.030369711,2003738.2476295582,6039049.030369711,growth=0.1
relax2,0.0,2,6636025.919286039,2227860.263119006,6636025.919286039,growth=0.1
relax2,0.85,4,6137831.7479815725,2079129.4738668397,6137831.7479815725,growth=0.1
relax2,0.7,4,6197941.7140074,2016603.7588112664,6197941.7140074,growth=0.1
relax2,0.5,3,4881201.770625124,1652788.4408807592,4881201.770625124,growth=0.1
relax2,0.3,0,5167809.428391685,1751146.6516976885,5167809.428391685,growth=0.1
relax2,1.0,3,4960552.370913451,1684252.1695665047,4960552.370913451,growth=0.1
relax2,0.0,1,5504108.071124337,1830188.0564339783,5504108.071124337,growth=0.1
relax2,0.0,4,6039049.030369711,2003738.2476295582,6039049.030369711,growth=0.1
relax2,1.0,2,5220382.286931104,1863338.5869869464,5220382.286931104,growth=0.1
relax2,0.3,1,5600470.588959353,1867325.9090702597,5600470.588959352,growth=0.1
