组,alpha,seed,n_initiated,n_ep,init_per_ep,CRH_T,ACD_T,ACD_T_p25,ACD_T_p50,ACD_T_p75,expire_rate_T,CRH_Teval,ACD_Teval,ACD_Teval_p25,ACD_Teval_p50,ACD_Teval_p75,expire_rate_Teval,expire_rate_uncond,LSR,slack_mean,late_share_y0,late_share_late,late_share_later,n_init_early,late_share_y0_years,cap_early_quota,cap_early_money,early_fill,early_binding,CRH_T_early,slack_mean_early,LSR_floor,LSR_excess,spend_ratio,idle_ratio,clipped_ratio,residual_ratio,released_ratio,decomp_sum,标量回报
ablation,1.0,0,200,5,40.0,0.3062924649098454,8.403839723443228,7.0,8.0,9.0,0.1984614448590523,0.7059830446532561,8.634977618257023,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.65,-2.255334298264,5.0,0.65,0.575,14.0,5.0,15.0,13.339920948616601,1.0494814814814815,资金,0.6922465643138439,2.669665701735999,0.666501976284585,-0.01650197628458494,0.9995061728395062,0.0004938271604938427,0.0,0.0671604938271605,0.0,1.0666666666666667,0.7928611755712235
ablation,1.0,1,215,5,43.0,0.3017702188150482,8.39044367683368,7.0,8.0,9.0,0.1914529011560194,0.7059830446532561,8.634977618257023,8.0,9.0,10.0,0.294016955346744,0.29401695534674405,0.6511627906976745,-2.3303342982640003,5.0,0.6511627906976745,0.6046511627906976,15.0,5.0,15.0,14.35459940652819,1.0449612403100776,资金,0.6931623296698048,2.6696657017359993,0.6661721068249258,-0.015009316127251315,0.9985185185185185,0.001481481481481528,0.0,0.06814814814814815,0.0,1.0666666666666667,0.7299974482640591
ablation,1.0,2,195,5,39.0,0.34566137541146336,8.374459111200304,7.0,8.0,9.0,0.21108909614638036,0.705983044653256,8.634977618257025,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.6153846153846154,-1.7662317341614362,5.0,0.6153846153846154,0.5384615384615384,15.0,5.0,15.0,13.022508038585208,1.151851851851852,资金,0.6931623296698048,2.6696657017359993,0.6660895374721741,-0.050704922087558724,0.9982716049382716,0.0017283950617283939,0.0,0.06839506172839506,0.0,1.0666666666666667,0.782627843708501
ablation,1.0,3,205,5,41.0,0.30797579046456275,8.415018666207997,7.0,8.0,9.0,0.19362092181370955,0.7059830446532559,8.634977618257027,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.6341463414634146,-2.257163566556683,5.0,0.6341463414634146,0.5853658536585366,15.0,5.0,15.0,13.673418972332016,1.097018970189702,资金,0.6931623296698048,2.6696657017359997,0.666501976284585,-0.03235563482117032,0.9995061728395062,0.0004938271604938427,0.0,0.0671604938271605,0.0,1.0666666666666667,0.7318452891767244
ablation,1.0,4,190,5,38.0,0.322413120957732,8.403839723443227,7.0,8.0,9.0,0.19343220746496312,0.7059830446532559,8.634977618257027,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.631578947368421,-2.119807982474527,5.0,0.631578947368421,0.5526315789473685,14.0,5.0,15.0,12.688597576057383,1.1033528265107213,资金,0.6922465643138439,2.669665701735999,0.6660895374721741,-0.034510590103753125,0.9982716049382716,0.0017283950617283939,0.0,0.06839506172839506,0.0,1.0666666666666667,0.7505977465500908
budget1500,0.0,0,205,5,41.0,0.2959251494306785,8.35801323027884,7.0,8.0,9.0,0.2007920670660691,0.7059830446532559,8.634977618257027,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.6829268292682927,-2.2571635665566836,5.0,0.6829268292682927,0.6097560975609756,13.0,5.0,15.0,13.666666666666668,0.9512195121951219,资金,0.6961209562044475,2.90043493250523,0.6666666666666666,0.016260162601626105,1.0,0.0,0.0,0.06666666666666667,0.0,1.0666666666666667,1.1098458932684687
budget1500,0.0,1,220,5,44.0,0.3063816736601608,8.374459111200304,7.0,8.0,9.0,0.2004661059182346,0.7059830446532561,8.634977618257025,8.0,9.0,10.0,0.294016955346744,0.29401695534674405,0.6590909090909091,-2.171243389173091,5.0,0.6590909090909091,0.5909090909090909,15.0,5.0,15.0,14.838129496402878,1.010909090909091,资金,0.6931623296698048,2.6696657017359993,0.6627697841726619,-0.003678875081752797,0.9884444444444445,0.011555555555555541,0.008,0.07022222222222223,0.0,1.0666666666666667,1.0523270632527575
budget1500,0.0,2,175,5,35.0,0.3317091179045091,8.404119117982857,7.0,8.0,9.0,0.21001211096195996,0.705983044653256,8.634977618257025,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.6285714285714286,-1.8446200125497147,5.0,0.6285714285714286,0.5428571428571428,13.0,5.0,15.0,11.677046263345195,1.1132952380952381,资金,0.6961209562044475,2.746588778659076,0.6663701067615658,-0.03779867819013727,0.9991111111111111,0.000888888888888939,0.0,0.06755555555555555,0.0,1.0666666666666667,1.1905332189804791
budget1500,0.0,3,210,5,42.0,0.3089552240249303,8.39044367683368,7.0,8.0,9.0,0.203011707263228,0.705983044653256,8.634977618257025,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.6428571428571429,-2.1636676315973333,5.0,0.6428571428571429,0.5952380952380952,15.0,5.0,15.0,14.006224988883949,1.0709523809523809,资金,0.6931623296698048,2.6696657017359993,0.6665184526456203,-0.023661309788477358,0.9995555555555555,0.0004444444444444695,0.0,0.06711111111111111,0.0,1.0666666666666667,1.0979235483702192
budget1500,0.0,4,75,5,15.0,0.2641076557130512,8.26766489932055,7.0,8.0,9.0,0.19601130356449603,0.705983044653256,8.634977618257025,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.7333333333333333,-2.7970009649306675,5.0,0.7333333333333333,0.6666666666666666,4.0,5.0,15.0,5.022321428571429,0.7964444444444444,资金,0.6899571509239419,2.1696657017359997,0.6651785714285714,0.06815476190476188,0.9955555555555555,0.004444444444444473,0.0,0.07111111111111111,0.0,1.0666666666666667,1.1387628402763466
budget1500,0.15,0,205,5,41.0,0.28741022260141014,8.38338587998056,7.0,8.0,9.0,0.1864497765613499,0.7059830446532559,8.634977618257027,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.6829268292682927,-2.4766757616786346,5.0,0.6829268292682927,0.6097560975609756,13.0,5.0,15.0,13.691006233303652,0.9495284552845528,资金,0.6961209562044475,2.90043493250523,0.6660730186999109,0.016853810568381866,0.9982222222222222,0.001777777777777767,0.0,0.06844444444444445,0.0,1.0666666666666667,0.8530164778339024
budget1500,0.15,1,185,5,37.0,0.3452651512538869,8.360061899796456,7.0,8.0,9.0,0.2145529133611376,0.7059830446532561,8.634977618257023,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.6216216216216216,-1.6816856496153516,5.0,0.6216216216216216,0.5405405405405406,14.0,5.0,15.0,12.393925859758822,1.1295855855855854,资金,0.6922465643138439,2.7410942731645704,0.6650290308173291,-0.043407409195707514,0.9951111111111111,0.004888888888888943,0.0,0.07155555555555555,0.0,1.0666666666666667,0.8147416657059873
budget1500,0.15,2,176,5,35.2,0.33554340736679183,8.436746692791317,7.0,8.0,9.0,0.20046610591823458,0.7059830446532561,8.634977618257025,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.6022727272727273,-1.9041979346276365,5.0,0.6022727272727273,0.5454545454545454,14.0,5.0,15.0,11.737506669037879,1.192757575757576,资金,0.696825391093648,2.8125228445931416,0.6665481059932421,-0.06427537872051481,0.9996444444444444,0.0003555555555555534,0.0,0.06702222222222222,0.0,1.0666666666666667,0.8058492889486498
