alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio
0.3,1,-246.61817711084126,3497.365318961175,0.0,-471.842735753043,3519.936365086097,471.842735753043,-3700.961434145355,12521703.102193296,-3774.741886024344,0.0,-1.840086234107553,20.0,222.0,1.0,0.0,0.9972222222222222
0.5,3,4180.715785926988,0.0,-3192.0609443529565,2113.6642340186118,4358.933674620967,1263.3415096381123,-617.3824677090746,11875970.191979043,-3554.40736171049,-34498.210673645604,-3.1506853825343972,26.0,211.0,1.0,0.0,0.9916666666666667
0.5,2,4136.699640117874,0.0,-3369.963894173086,2096.957993373065,6814.026858883031,863.2406105532576,-505.02469015626383,11637749.772609849,-3492.4581381590788,-30256.63785925102,-5.016982642306111,43.0,214.0,0.75,0.0,0.9977777777777778
1.0,3,3684.660754689359,0.0,-2924.8332835535743,1855.0741233799224,1317.874669555027,545.3624212635266,-561.6260129423661,11058198.934365561,-3099.0044246089215,-45447.01826656742,-7.431901636244265,60.0,215.0,0.0,0.0,0.9911111111111112
0.0,2,-415.9658479238768,3367.263995526776,0.0,-457.2345053393469,3151.9540338290803,404.37651088639166,-2978.0863800886714,13027429.610879455,-3728.7055677316976,-3178.779252900536,-3.7365613528903223,28.0,228.0,1.0,0.0,0.9983333333333333
0.3,0,-415.9658479238768,3367.263995526776,0.0,-457.2345053393469,3151.9540338290803,404.37651088639166,-2978.0863800886714,13027429.610879455,-3728.7055677316976,-3178.779252900536,-3.812032073397384,28.0,228.0,1.0,0.0,1.0
0.7,3,4730.366788162023,0.0,-4035.5997592667745,2394.8478306090647,6091.363642285091,1639.211634124301,-604.2710084339867,12905160.133262323,-3980.5055198838877,-33751.26432768539,-4.458514454167151,38.0,214.0,0.75,0.0,0.9922222222222222
0.15,1,-279.768833191452,3611.1566328295276,0.0,-490.43982304810015,3634.611502457422,490.43982304810015,-3894.7212495120875,13173369.046230227,-4030.9431399754844,-3145.1600641916557,-4.590006275159526,35.0,232.0,0.85,0.0,0.9994444444444445
0.85,2,4233.837038910917,0.0,-3676.613282912908,2146.7518893106926,6253.9747608341295,1329.9436673068114,-641.8750116658427,11496397.370725274,-3568.861767559778,-32403.937273665193,-5.6662229348175375,48.0,239.0,0.45,0.0,0.9911111111111112
0.0,4,-269.6429675036656,3444.272385195983,0.0,-465.7215167149733,3466.530783134874,465.7215167149734,-4059.156872294677,12697449.9247378,-3821.087575005147,-1694.7746627242814,-4.617715830228436,35.0,230.0,0.8,0.0,1.0
0.15,2,-239.07086454023732,3001.0439992928486,0.0,-408.927719681848,2965.605400421602,403.75323148239414,-2725.544209210996,11620833.100349784,-3431.545247548096,-4063.593049376058,-6.104857287402104,49.0,236.0,0.55,0.0,0.9955555555555555
0.85,3,3779.137389769053,0.0,-3534.258291178737,1910.3327101542432,5337.4903599047775,874.9923863233204,-479.1231805460787,11430867.539293516,-3104.2668577684144,-36512.96382010262,-6.170901938157291,43.0,212.0,0.55,0.0,0.9822222222222222
0.3,2,-275.378423892425,3513.0097376860786,0.0,-474.4842162269695,3535.7194289695058,474.4842162269695,-4109.850887685478,12723224.848280761,-3795.873729815756,0.0,-2.370547525057428,20.0,225.0,1.0,0.0,1.0
0.0,0,74.90464807753162,2908.0413725262756,-223.8378021152427,-228.82051611928387,3621.520745693967,300.4518223246788,-2878.1308391204298,11061398.579052873,-3455.133612910128,-6601.805627139431,-6.881129343960483,52.0,224.0,0.4,0.0,0.9988888888888889
0.15,3,2699.193725991069,1045.6273516258384,-2257.3568646502144,1261.7542243625899,5913.40080653831,175.47453043251068,-1529.11375831131,11672939.432170203,-3490.8093608142867,-24789.05760117005,-7.0196930261499615,55.0,216.0,0.2,0.0,0.9994444444444445
