policy,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_init,n_done_T,n_done_all,n_expire,spend,crh_T,crh_all
frontload,0,1760.2873576339043,0.0,-1732.8831349508782,886.3441804141111,75.4015734942604,1012.69381832363,-105.03938736903062,1376181.11891592,-1457.9559145399214,-7946.391276270505,-4.097958353392576,14,8,8,6,4480.0,0.5714285714285714,0.5714285714285714
frontload,1,2385.001241477148,0.0,-2361.0676256114784,1201.4839316885516,109.19841416140315,733.7144840486501,-109.04682501182891,1835439.1975533045,-1956.3756680457523,-9751.617525824971,-2.800704939412108,14,10,10,4,4480.0,0.7142857142857143,0.7142857142857143
frontload,2,1363.8017908197482,0.0,-1375.1032906791427,687.5516453395713,76.13496687576405,315.7653216529062,-82.44954896996663,1120170.5595204055,-1157.2622071935198,-5645.717204342716,-3.4621909183574204,14,9,9,5,4480.0,0.6428571428571429,0.6428571428571429
frontload,3,1747.3883581038858,0.0,-1533.9025377362004,878.8145664726071,74.5230490476464,347.5337446813293,35.98150805838035,1364961.994143079,-1476.5620937887934,-11660.308229770584,-4.1992172613261705,14,8,8,6,4480.0,0.5714285714285714,0.5714285714285714
frontload,4,1061.3808810341995,0.0,-1071.217205994354,535.6086029971771,64.66603717143592,155.96795778409637,-77.59079467653224,848171.1002800461,-886.9106117574022,-3452.265943816825,-5.7080900894511695,14,6,6,8,4480.0,0.42857142857142855,0.42857142857142855
evenspread,0,3932.5739969400365,0.0,-3821.617505635025,1979.9819036771787,133.92747506809056,766.0477706964555,13.785048234453658,2950173.0364789963,-3191.028762836709,-13407.595554751128,-2.439462622870834,15,7,10,5,12380.0,0.4666666666666667,0.6666666666666666
evenspread,1,5937.039048728102,0.0,-5949.813740160963,2991.9708728487753,177.96111643021186,2384.384128817283,-137.05571159874327,4458036.600544674,-4792.8413974808045,-12559.437950345888,-2.871417539001337,15,4,10,5,12380.0,0.26666666666666666,0.6666666666666666
evenspread,2,3606.2445263840864,0.0,-3631.8394085544624,1815.9197042772312,126.62434170507588,631.588122999068,-53.86261485181112,2705720.359373075,-2905.4715268435693,-9951.014217426118,-2.9014190707618894,15,6,9,6,12380.0,0.4,0.6
evenspread,3,5214.137248360325,0.0,-5256.153397506978,2628.07669875349,158.6318010825831,1541.1394620868268,-106.07848451334048,3915834.281142699,-4204.922718005583,-11823.972329522956,-3.2175569307960004,15,5,9,6,12380.0,0.3333333333333333,0.6
evenspread,4,2946.1353960410106,0.0,-2967.4955639926984,1483.7477819963494,78.47513281450206,1779.294845681587,-63.009541460436694,2210784.195174561,-2373.9964511941585,-11841.007281345283,-4.353681089989655,15,4,7,8,12380.0,0.26666666666666666,0.4666666666666667
backload,0,1749.9976892787577,0.0,-1738.0285948793628,880.9307269934279,59.19834251911525,498.59670180604394,-14.852422735936134,1312586.7832202078,-1413.4613063740667,-5707.4486358045015,-1.9892625106388162,13,0,8,5,5930.0,0.0,0.6153846153846154
backload,1,1145.586075592762,0.0,-1128.806085369093,576.9466527411217,45.9953482971108,543.2990284556224,-47.86278342045952,859650.5125842714,-927.2958477379867,-5497.494239921489,-2.539536669261063,13,0,7,6,5930.0,0.0,0.5384615384615384
backload,2,1863.7773302668593,0.0,-1854.7084709261055,938.1088131353089,60.43403925956484,572.6530778114933,-11.334164681578185,1397782.1315716102,-1504.5589602405798,-5768.071956600573,-1.9892625106388162,13,0,8,5,5930.0,0.0,0.6153846153846154
backload,3,1335.5215693685186,0.0,-1320.2599511995363,672.6735856563434,57.080639308747315,141.32108916527247,-35.6351458686353,1002283.6426279519,-1080.4589404023416,-6562.826775031928,-1.695587990980926,13,0,9,4,5930.0,0.0,0.6923076923076923
backload,4,1197.1759530880488,0.0,-1207.5616355279108,603.7808177639554,50.24758440455723,508.82306361990726,-87.49213402948672,899633.4184682935,-966.0493084223286,-4566.021337498653,-2.602309735377521,13,0,7,6,5930.0,0.0,0.5384615384615384
oracle,0,6665.978401740426,21.748030952826856,-6286.945026649878,3347.871308010735,301.5880658008482,1509.087999101703,-313.4866190802527,5172814.733501822,-5557.018670354871,-30210.78928887776,0.0,27,27,27,0,8990.0,1.0,1.0
oracle,1,6665.978401740426,21.748030952826856,-6286.945026649878,3347.871308010735,301.5880658008482,1509.087999101703,-313.4866190802527,5172814.733501822,-5557.018670354871,-30210.78928887776,0.0,27,27,27,0,8990.0,1.0,1.0
oracle,2,6665.978401740426,21.748030952826856,-6286.945026649878,3347.871308010735,301.5880658008482,1509.087999101703,-313.4866190802527,5172814.733501822,-5557.018670354871,-30210.78928887776,0.0,27,27,27,0,8990.0,1.0,1.0
oracle,3,6665.978401740426,21.748030952826856,-6286.945026649878,3347.871308010735,301.5880658008482,1509.087999101703,-313.4866190802527,5172814.733501822,-5557.018670354871,-30210.78928887776,0.0,27,27,27,0,8990.0,1.0,1.0
oracle,4,6665.978401740426,21.748030952826856,-6286.945026649878,3347.871308010735,301.5880658008482,1509.087999101703,-313.4866190802527,5172814.733501822,-5557.018670354871,-30210.78928887776,0.0,27,27,27,0,8990.0,1.0,1.0
