组,alpha,RL回报,RL标准差,最强基线,基线策略,差,Eco,Gdp,Emp,Floor,Cost,Disrupt,Expire,立项数,停手率,空转年,花钱比
cool1,0.5,0.4104084688419304,0.17569732669285273,0.36664362166352615,就业定向,0.04376484717840423,1062.8706034786585,1220.5330522162824,409.52908123600986,1910284.6003268536,-2279.959257116522,-10895.084487654689,-3.134166422869396,27.160000000000004,0.7626666666666666,0.0,0.996237037037037
cool1,0.7,0.5514702253342793,0.15568135172772396,0.4836560509683754,就业定向,0.06781417436590387,0.0,2494.8336040558047,1264.5806760488802,1894057.8931641653,-2166.477513824014,-21860.18580191445,-2.446985287330034,22.240000000000002,0.9039999999999999,0.0,0.9828296296296297
cool1,0.85,0.45700133405255394,0.13572126327236472,0.5632245028956728,就业定向,-0.10622316884311889,0.0,2137.5039661763067,1079.6409384576464,1618360.28489196,-1852.0888591400956,-22920.562627411757,-2.9608992448255744,27.439999999999998,0.7413333333333333,0.0,0.9456
cool1,1.0,0.539982001697263,0.131155089972143,0.6366723046747165,就业定向,-0.09669030297745351,0.0,2355.0618485731197,1187.4745241645883,1769337.0410052366,-2031.6370339215505,-27890.247379953486,-3.302420755481459,30.8,0.5866666666666667,0.0,0.922074074074074
cool3,0.0,0.6184636446903824,0.0519298910794055,0.512218826000571,生态定向,0.1062448186898114,2088.839172308835,-185.96532728973656,-282.3393817607922,2018948.7054272913,-2296.1505330527934,-2809.405795521333,-2.6017000978299505,24.8,0.8853333333333333,0.0,0.998785185185185
cool3,0.15,0.4305042042592965,0.10405571786891334,0.42787753380220134,生态定向,0.002626670457095137,1711.8874321568583,-108.49161924748391,-223.77772285071993,1711815.9743178184,-1937.9843153166707,-1617.8557338266023,-2.4725158816612396,22.92,0.9093333333333333,1.0,0.9845925925925926
cool3,0.3,0.38867353821318057,0.02356979503664054,0.3514432377474288,生态定向,0.037230300465751764,1349.1461146504748,600.3716730065104,43.01298087112167,1796265.4242899953,-2153.173574577654,-4088.3597475616966,-2.8959711978036227,23.6,0.8346666666666666,0.0,0.9984
cool3,0.5,0.40364933396675146,0.11055496842741919,0.36792826576508164,就业定向,0.035721068201669814,1030.5522295136966,1127.1481535515736,408.8262631348181,1873603.7676526555,-2211.8793728862147,-8113.420803117534,-3.3090460895325124,27.919999999999998,0.6426666666666667,0.0,0.9985185185185186
cool3,0.7,0.44354456021793726,0.08155247443931687,0.4849299617380845,就业定向,-0.04138540152014725,0.0,2339.210778728462,1181.3297403778058,1760181.3131629308,-2011.7779968868788,-26229.406135999365,-2.9270900860181692,23.359999999999996,0.8426666666666668,0.0,0.9968592592592593
cool3,0.85,0.515808640720565,0.17052673509490174,0.5644911149997265,就业定向,-0.0486824742791615,21.80995180566671,2293.977040190951,1160.5278106858914,1767333.6951388498,-2016.707106792733,-20564.061110605217,-3.9171018229413996,32.28,0.5546666666666666,0.0,0.9524592592592593
cool3,1.0,0.487995182228331,0.1306989813556275,0.6379321795489341,就业定向,-0.14993699732060312,0.0,2168.385114538921,1093.743429127569,1661525.518227549,-1910.0028459851699,-24449.336308883434,-3.5412387278075834,29.639999999999997,0.6133333333333334,0.0,0.9397037037037036
statutory,0.0,0.5448339361343605,0.04230717719254323,0.4315945275356113,生态定向,0.1132394085987492,1613.5058069845404,-104.91386615321012,-210.73626793845384,1575714.215066464,-1789.4023826634166,-927.814030658859,-6.131358569876538,25.200000000000003,0.8533333333333333,0.0,0.9989037037037038
statutory,0.15,0.41538947048592706,0.05742580905811807,0.35662019225025304,生态定向,0.058769278235674016,1229.7057108101367,315.47116376092947,-46.62136544134193,1462351.4364910196,-1734.1064816347116,-2060.2955488991274,-6.66009730736139,26.159999999999997,0.8053333333333335,0.0,0.975525925925926
statutory,0.3,0.338097303885061,0.027106798998784626,0.2886747008978973,生态定向,0.049422602987163666,1326.2313393294094,98.76396967962319,-124.52091968615359,1404259.703701723,-1642.9960644251835,-1239.1790436431252,-5.097467147813634,20.68,0.9706666666666667,0.0,0.9992296296296297
statutory,0.5,0.3999980034181845,0.09827894118737553,0.3267760561915139,就业定向,0.07322194722667058,371.403396161507,1480.0872788612796,653.4357917132023,1465644.0415958483,-1727.9941617639179,-11168.082315190051,-5.590906280459497,21.279999999999998,0.8986666666666668,0.0,0.9980740740740741
statutory,0.7,0.4807547774820291,0.0758687520713704,0.44992436017235893,就业定向,0.030830417309670177,2.8948675132949284,1875.5437095664897,951.074004517303,1430667.819828327,-1620.6226266431092,-16051.975496934077,-6.881981320253722,26.560000000000002,0.7946666666666666,0.5599999999999999,0.923111111111111
statutory,0.85,0.493180804065849,0.024522035907108653,0.5336652068793336,就业定向,-0.04048440281348459,0.0,1921.8177060234525,971.618237566074,1447711.17397345,-1688.6537848844007,-15428.068280452135,-6.007752149607947,23.6,0.8053333333333332,0.0,0.9987259259259259
statutory,1.0,0.4872802466493238,0.17569512473478494,0.6109644499934639,就业定向,-0.1236842033441401,4.1792536220783045,1772.813113179164,892.7691572809078,1356269.0439311187,-1546.697343789392,-17888.05859563253,-7.760790732966496,31.160000000000004,0.5546666666666666,0.0,0.9244148148148149
