项目,区,计划名,街道,公告年,审批年,拆除面积,FAR,时滞年
龙华区龙华街道水斗新围山嘴头工业区（第二期）城市更新单元规划,龙华,水斗新围山嘴头工业区城市更新单元,龙华街道,2014.3333333333333,2020,32214.0,8.331769093116092,5.6666666666667425
龙华区观湖街道新田社区新田元水老村城市更新单元规划,龙华,新田社区新田元水老村城市更新单元,观湖办事处,2016.6666666666667,2021,62609.2,6.484214268018139,4.3333333333332575
龙华区大浪街道浪口村改造城市更新单元规划,龙华,浪口村改造,大浪街道,2010.25,2021,55068.9,5.753215944014621,10.75
龙华区观湖街道松元厦大布头片区城市更新单元规划,龙华,松元厦大布头片区城市更新单元,观澜办事处,2015.5,2021,187539.1,6.205182533144706,5.5
龙华区龙华街道清湖硅谷动力工业园城市更新单元规划（二次上会）,龙华,清湖硅谷动力工业园城市更新单元,龙华街道,2018.75,2022,107726.4,6.973021436139865,3.25
龙华区民治街道水尾泰安城市更新单元规划,龙华,水尾泰安城市更新单元,龙华区民治街道,2017.5833333333333,2022,12812.6,8.643745195885847,4.4166666666667425
龙岗区横岗街道六约南片塘坑片区城市更新单元规划,龙岗,六约南片塘坑片区城市更新单元（范围调整）,横岗街道,2015.75,2018,73799.1,6.725697007349818,2.25
龙岗区南湾街道南和通讯及南岭地块城市更新单元规划,龙岗,南和通讯及南岭地块城市更新单元,南湾街道,2016.0833333333333,2018,58297.5,4.19818934952931,1.9166666666667425
龙岗区龙城街道回龙埔社区长江电缆厂城市更新单元规划,龙岗,长江电缆厂城市更新单元,龙城街道,2018.25,2019,22735.6,8.457839097986891,0.75
龙岗区平湖街道鹅公岭社区园岭片区城市更新单元规划,龙岗,鹅公岭社区园岭片区城市更新单元,平湖街道,2016.9166666666667,2019,93437.6,7.67009131061084,2.0833333333332575
龙岗区坂田街道嘉长源高科技工业园城市更新单元规划,龙岗,嘉长源高科技工业园城市更新单元,坂田街道,2017.3333333333333,2020,29673.6,7.470492275213512,2.6666666666667425
龙岗区坂田街道富豪山庄旧住宅区城市更新单元规划,龙岗,富豪山庄旧住宅区城市更新单元,坂田街道,2018.25,2020,19228.6,8.365736962539804,1.75
龙岗区龙岗街道南联向前村城市更新单元规划,龙岗,南联向前村更新单元,龙岗街道,2010.25,2020,134572.5,9.266104181382099,9.75
龙岗区平湖街道山厦旧村城市更新单元规划,龙岗,山厦旧村改造,平湖街道,2010.25,2020,198946.7,6.146771663597212,9.75
龙岗区龙城街道盛平荔枝园城市更新单元规划,龙岗,盛平荔枝园城市更新单元,龙城街道,2015.75,2020,43558.4,8.581711487313717,4.25
龙岗区坂田街道石化坂田新村更新单元规划,龙岗,华泰小区更新单元,莲花街道,2010.25,2020,19706.0,8.701560066985927,9.75
龙岗区坂田街道石化坂田新村更新单元规划,龙岗,华泰小区更新单元,莲花街道,2010.25,2020,19706.0,8.701560066985927,9.75
龙岗区龙岗街道新生社区车村片区城市更新单元规划,龙岗,新生社区车村片区城市更新单元,龙岗街道,2017.3333333333333,2020,83338.0,8.270249862153447,2.6666666666667425
龙岗区横岗街道四联排榜村城市更新单元规划,龙岗,四联排榜村城市更新单元,横岗街道,2016.9166666666667,2021,505910.6,7.393424157868433,4.0833333333332575
龙岗区平湖街道良安田新村片区城市更新单元规划,龙岗,良安田新村城市更新单元,平湖街道,2015.5,2021,132361.5,6.298288740509667,5.5
龙岗区龙岗街道新生社区低山村城市更新单元规划,龙岗,新生社区低山村城市更新单元,龙岗街道,2018.5833333333333,2021,463042.3,7.192759423051854,2.4166666666667425
